date,year,month,value
1948-01-01,1948,1,-0.0210
1948-02-01,1948,2,-0.0340
1948-03-01,1948,3,0.0220
1948-04-01,1948,4,-0.0760
1948-05-01,1948,5,-0.0100
1948-06-01,1948,6,0.0490
1948-07-01,1948,7,-0.0460
1948-08-01,1948,8,-0.0290
1948-09-01,1948,9,-0.0590
1948-10-01,1948,10,0.0010
1948-11-01,1948,11,0.1280
1948-12-01,1948,12,0.0560
1949-01-01,1949,1,0.1470
1949-02-01,1949,2,0.1540
1949-03-01,1949,3,0.0320
1949-04-01,1949,4,0.0920
1949-05-01,1949,5,-0.0300
1949-06-01,1949,6,-0.0050
1949-07-01,1949,7,0.0650
1949-08-01,1949,8,0.0960
1949-09-01,1949,9,0.0640
1949-10-01,1949,10,0.0980
1949-11-01,1949,11,0.1020
1949-12-01,1949,12,0.1120
1950-01-01,1950,1,0.1050
1950-02-01,1950,2,-0.0400
1950-03-01,1950,3,-0.1120
1950-04-01,1950,4,-0.1370
1950-05-01,1950,5,-0.0650
1950-06-01,1950,6,-0.0490
1950-07-01,1950,7,-0.0620
1950-08-01,1950,8,0.0140
1950-09-01,1950,9,0.0030
1950-10-01,1950,10,-0.0970
1950-11-01,1950,11,0.0730
1950-12-01,1950,12,0.0820
1951-01-01,1951,1,0.0960
1951-02-01,1951,2,-0.0080
1951-03-01,1951,3,0.0060
1951-04-01,1951,4,0.1620
1951-05-01,1951,5,0.1660
1951-06-01,1951,6,0.2830
1951-07-01,1951,7,0.4150
1951-08-01,1951,8,0.2970
1951-09-01,1951,9,0.2430
1951-10-01,1951,10,0.2520
1951-11-01,1951,11,0.1680
1951-12-01,1951,12,0.1680
1952-01-01,1952,1,0.1650
1952-02-01,1952,2,0.1760
1952-03-01,1952,3,0.2240
1952-04-01,1952,4,0.1840
1952-05-01,1952,5,0.1740
1952-06-01,1952,6,0.3760
1952-07-01,1952,7,0.3660
1952-08-01,1952,8,0.3970
1952-09-01,1952,9,0.3550
1952-10-01,1952,10,0.3480
1952-11-01,1952,11,0.2440
1952-12-01,1952,12,0.3340
1953-01-01,1953,1,0.2580
1953-02-01,1953,2,0.1780
1953-03-01,1953,3,0.1340
1953-04-01,1953,4,0.3060
1953-05-01,1953,5,0.3350
1953-06-01,1953,6,0.2680
1953-07-01,1953,7,0.3370
1953-08-01,1953,8,0.2510
1953-09-01,1953,9,0.2730
1953-10-01,1953,10,0.1410
1953-11-01,1953,11,0.2370
1953-12-01,1953,12,0.2510
1954-01-01,1954,1,0.2200
1954-02-01,1954,2,0.0880
1954-03-01,1954,3,0.0930
